dataset,case_id,fold,fault_type,root_service,candidate_count,root_rank,AC@1,AC@2,AC@3,AC@4,AC@5,Avg@5,MRR
re2ob,re2ob-f30e2feeaa5218b8,2,delay,productcatalogservice,11,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
re2ob,re2ob-f874f110aae8efa9,0,delay,currencyservice,11,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
re2ob,re2ob-f88fc943d724a354,0,socket,productcatalogservice,11,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
re2ob,re2ob-fa8a8fae0fda7c42,1,cpu,recommendationservice,11,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
re2ob,re2ob-fd67c49516fa2028,2,cpu,currencyservice,11,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
re2ob,re2ob-feeaaba6c71377df,1,loss,productcatalogservice,11,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
re2tt,re2tt-010695b192f8dbea,2,disk,ts-route-service,68,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
re2tt,re2tt-01d0096e9a504ced,2,loss,ts-auth-service,68,15,0.0,0.0,0.0,0.0,0.0,0.0,0.06666666666666667
re2tt,re2tt-04ce93a682b70df6,1,mem,ts-train-service,68,3,0.0,0.0,1.0,1.0,1.0,0.6,0.3333333333333333
re2tt,re2tt-0b529d9f6ca88d4b,2,cpu,ts-auth-service,68,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
re2tt,re2tt-0f6b6213169d6acc,2,socket,ts-order-service,68,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
re2tt,re2tt-1283c56ed7675282,0,delay,ts-travel-service,68,3,0.0,0.0,1.0,1.0,1.0,0.6,0.3333333333333333
re2tt,re2tt-14c6e1b70d0c21e5,1,loss,ts-auth-service,68,15,0.0,0.0,0.0,0.0,0.0,0.0,0.06666666666666667
re2tt,re2tt-1d48b3aec1ec4470,2,disk,ts-auth-service,68,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
re2tt,re2tt-20258ce8dbcd2300,0,loss,ts-travel-service,68,4,0.0,0.0,0.0,1.0,1.0,0.4,0.25
re2tt,re2tt-22292d58b67911fb,1,mem,ts-order-service,68,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
re2tt,re2tt-2782358136a64e6c,1,disk,ts-auth-service,68,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
re2tt,re2tt-2a03e4ad1a1d6f85,0,cpu,ts-train-service,68,2,0.0,1.0,1.0,1.0,1.0,0.8,0.5
re2tt,re2tt-2ae0e149b3ab15f1,1,socket,ts-order-service,68,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
re2tt,re2tt-2ca7cff33586ca18,0,socket,ts-train-service,68,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
re2tt,re2tt-2defd6e102bdaf53,2,cpu,ts-train-service,68,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
re2tt,re2tt-2fc3d2fb9c492b7c,0,mem,ts-train-service,68,5,0.0,0.0,0.0,0.0,1.0,0.2,0.2
