dataset,case_id,fault_type,root_service,fold,M,L,TE,TL,M+L,M+TE,M+TL,L+TE,L+TL,TE+TL,FULL-M,FULL-L,FULL-TE,FULL-TL,FULL-Z2
re2ob,re2ob-f30e2feeaa5218b8,delay,productcatalogservice,2,1,4,8,6,1,1,1,5,4,6,4,1,1,1,1
re2ob,re2ob-f874f110aae8efa9,delay,currencyservice,0,2,1,4,4,1,2,2,1,1,3,1,2,1,1,1
re2ob,re2ob-f88fc943d724a354,socket,productcatalogservice,0,1,4,8,9,1,1,1,5,6,6,6,1,1,1,1
re2ob,re2ob-fa8a8fae0fda7c42,cpu,recommendationservice,1,1,1,9,5,1,1,1,1,1,5,1,1,1,1,1
re2ob,re2ob-fd67c49516fa2028,cpu,currencyservice,2,1,11,4,3,1,1,1,11,8,3,8,1,1,1,1
re2ob,re2ob-feeaaba6c71377df,loss,productcatalogservice,1,1,6,8,6,1,1,1,6,6,6,6,1,1,1,1
re2tt,re2tt-010695b192f8dbea,disk,ts-route-service,2,1,15,47,1,1,1,1,15,1,1,1,1,1,1,1
re2tt,re2tt-01d0096e9a504ced,loss,ts-auth-service,2,30,2,9,9,18,30,28,2,3,9,3,28,15,18,15
re2tt,re2tt-04ce93a682b70df6,mem,ts-train-service,1,1,59,57,48,5,1,1,59,50,48,50,1,3,5,3
re2tt,re2tt-0b529d9f6ca88d4b,cpu,ts-auth-service,2,1,7,9,1,1,1,1,7,1,1,1,1,1,1,1
re2tt,re2tt-0f6b6213169d6acc,socket,ts-order-service,2,2,5,35,31,1,2,1,5,1,31,1,1,1,1,1
re2tt,re2tt-1283c56ed7675282,delay,ts-travel-service,0,9,18,60,50,5,9,9,18,12,50,12,9,3,5,3
re2tt,re2tt-14c6e1b70d0c21e5,loss,ts-auth-service,1,20,6,9,9,16,20,18,6,5,9,5,18,15,16,15
re2tt,re2tt-1d48b3aec1ec4470,disk,ts-auth-service,2,1,4,9,1,1,1,1,4,1,1,1,1,1,1,1
re2tt,re2tt-20258ce8dbcd2300,loss,ts-travel-service,0,12,3,60,52,4,12,11,3,4,52,4,11,4,4,4
re2tt,re2tt-22292d58b67911fb,mem,ts-order-service,1,1,7,35,32,1,1,1,7,6,32,6,1,1,1,1
re2tt,re2tt-2782358136a64e6c,disk,ts-auth-service,1,1,3,9,1,1,1,1,3,1,1,1,1,1,1,1
